Prompt: golden fish swimming in the ocean. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,29,0.359,2.188,0.365,3
,30,0.326,2.781,0.730,3
Prompt: a person is pushing cart aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.562,11.500,-10.500,3
,5,0.241,1.000,0.000,3
,8,0.218,1.000,0.000,3
,11,0.140,1.273,0.208,3
,14,0.122,1.062,0.000,3
,17,0.146,1.484,-0.598,3
,20,0.097,1.078,-0.273,4
,24,0.090,0.984,-0.303,4
,28,0.122,1.016,-0.562,3
,29,0.043,0.559,-0.149,10
,30,0.013,0.410,-0.055,12
Prompt: a person is pushing cart aesthetic score: 6.5. motion score: 5.0.
